index|station_id|station_name|date|average_wind_speed|precipitation|snowfall|snow_depth|temperature_avg|temperature_max|temperature_min
102|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-12|12.3|0.13|0.0|0.0|56|61|44
103|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-13|7.38|0.0|0.0|0.0|48|58|39
104|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-14|7.16|0.0|0.0|0.0|50|62|41
105|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-15|4.7|0.0|0.0|0.0|51|65|39
106|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-16|6.93|0.0|0.0|0.0|54|68|41
107|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-17|3.8|0.0|0.0|0.0|56|73|42
108|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-18|6.49|0.0|0.0|0.0|64|81|47
109|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-19|14.32|0.0|0.0|0.0|67|74|54
110|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-20|9.84|0.0|0.0|0.0|60|69|50
111|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-21|11.86|0.0|0.0|0.0|60|77|44
112|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-22|8.5|0.0|0.0|0.0|71|83|61
113|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-23|12.75|0.04|0.0|0.0|67|73|54
114|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-24|8.28|0.0|0.0|0.0|58|72|45
115|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-25|5.37|0.0|0.0|0.0|58|68|48
116|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-26|8.05|0.1|0.0|0.0|58|68|46
117|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-27|8.05|0.0|0.0|0.0|51|67|46
118|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-28|6.71|0.0|0.0|0.0|52|58|47
119|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-29|7.83|0.03|0.0|0.0|51|57|47
120|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-30|7.16|0.0|0.0|0.0|52|63|44
121|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-01|6.93|0.21|0.0|0.0|49|51|43
122|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-02|4.47|0.14|0.0|0.0|50|61|45
123|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-03|6.49|0.59|0.0|0.0|54|55|51
